trip_id,start_time,start_lon,start_lat,end_time,end_lon,end_lat,charging,charging_time,charging_waittime
17819,06/01/14 11:34 PM,114.112602,22.546301,06/01/14 11:46 PM,114.125603,22.6098,0,0,0
26844,06/01/14 09:48 PM,114.057602,22.537201,06/01/14 10:01 PM,114.044296,22.5676,0,0,0
15046,06/01/14 11:25 PM,114.09320100000001,22.572001,06/01/14 11:39 PM,114.035599,22.6112,0,0,0
687,06/01/14 05:41 PM,114.024498,22.526899,06/01/14 06:02 PM,113.942802,22.508101,0,0,0
14887,06/01/14 08:04 AM,113.9245,22.544399,06/01/14 08:10 AM,113.928802,22.552799,0,0,0
24136,06/01/14 12:24 AM,114.057198,22.528999,06/01/14 12:26 AM,114.059502,22.5338,0,0,0
18814,06/01/14 08:58 PM,114.10700200000001,22.561899,06/01/14 09:01 PM,114.101097,22.558701,0,0,0
482,06/01/14 10:34 PM,114.116798,22.5888,06/01/14 10:42 PM,114.112297,22.586,0,0,0
9029,06/01/14 11:13 AM,114.007896,22.5348,06/01/14 11:21 AM,113.960701,22.5231,0,0,0
27617,06/01/14 05:50 PM,114.023003,22.6366,06/01/14 06:08 PM,114.075203,22.5513,0,0,0
28055,06/01/14 10:38 PM,114.034103,22.547898999999997,06/01/14 11:04 PM,114.097099,22.5382,0,0,0
22448,06/01/14 02:58 PM,113.926903,22.5439,06/01/14 03:12 PM,114.005898,22.5499,0,0,0
18806,06/01/14 07:21 PM,113.985298,22.5294,06/01/14 07:30 PM,114.016403,22.531,0,0,0
3425,06/01/14 05:52 AM,114.111,22.6096,06/01/14 06:10 AM,114.108398,22.6224,0,0,0
13732,06/01/14 11:04 PM,113.996399,22.5292,06/01/14 11:35 PM,114.039597,22.646,0,0,0
27415,06/01/14 12:09 PM,114.003998,22.5378,06/01/14 12:15 PM,113.989998,22.5256,0,0,0
19219,06/01/14 01:18 PM,114.029404,22.6348,06/01/14 01:24 PM,114.035202,22.6224,0,0,0
13828,06/01/14 08:56 AM,114.11509699999999,22.5464,06/01/14 09:07 AM,114.14119699999999,22.548401000000002,0,0,0
20811,06/01/14 04:25 AM,114.114098,22.538099,06/01/14 04:37 AM,114.101196,22.552099,0,0,0
6326,06/01/14 01:37 AM,114.078598,22.534901,06/01/14 01:55 AM,114.0159,22.6371,0,0,0
1099,06/01/14 04:02 PM,114.033401,22.541401,06/01/14 04:17 PM,114.007896,22.534901,1,3947,56
1894,06/01/14 02:34 AM,114.107803,22.5676,06/01/14 03:43 AM,114.123299,22.5625,1,4941,0
1918,06/01/14 10:51 AM,114.062698,22.554001,06/01/14 11:04 AM,114.068703,22.5734,1,3170,0
1440,06/01/14 09:46 PM,114.228798,22.5562,06/01/14 11:10 PM,114.304497,22.6008,1,6036,615
1428,06/01/14 05:27 PM,114.053802,22.571199,06/01/14 05:43 PM,113.987602,22.560499,1,2671,60
2496,06/01/14 07:47 AM,113.808701,22.6271,06/01/14 07:54 AM,113.838402,22.609699,1,2467,30
1219,06/01/14 01:06 PM,113.9375,22.542601,06/01/14 01:23 PM,114.007797,22.5348,1,4980,0
1662,06/01/14 04:41 PM,113.927803,22.518801,06/01/14 04:53 PM,114.007896,22.534901,1,2208,0
2068,06/01/14 07:28 PM,114.065002,22.6325,06/01/14 07:57 PM,114.023399,22.5427,1,3240,60
1719,06/01/14 05:33 PM,114.062698,22.545799,06/01/14 05:52 PM,114.00810200000001,22.535101,1,4685,26
1542,06/01/14 10:38 AM,114.0392,22.544399,06/01/14 11:08 AM,113.813202,22.624001,1,4243,94
1037,06/01/14 11:14 AM,114.06819899999999,22.5511,06/01/14 11:24 AM,114.10140200000001,22.5825,1,3904,1698
777,06/01/14 11:10 AM,114.024498,22.5397,06/01/14 11:15 AM,114.008003,22.534901,1,3868,9
1369,06/01/14 07:08 AM,114.043999,22.556601,06/01/14 07:19 AM,114.074402,22.559,1,3270,30
1284,06/01/14 11:10 AM,114.0065,22.5343,06/01/14 11:11 AM,114.007896,22.5348,1,4072,14
1023,06/01/14 01:10 PM,113.925797,22.5217,06/01/14 01:13 PM,113.94180300000001,22.526999999999997,1,3898,120
1910,06/01/14 02:48 AM,114.027298,22.561199,06/01/14 03:13 AM,114.123001,22.5625,1,5049,30
1200,06/01/14 02:39 AM,114.122101,22.556801,06/01/14 02:58 AM,113.987701,22.560499,1,4582,30
2239,06/01/14 02:19 PM,114.117401,22.5366,06/01/14 02:37 PM,114.101601,22.582701,1,4641,58
2271,06/01/14 04:10 AM,114.118797,22.5404,06/01/14 04:31 AM,114.007797,22.5348,1,5902,436
1878,06/01/14 03:06 AM,113.822601,22.6425,06/01/14 03:57 AM,114.023399,22.542801,1,6600,479
358,06/01/14 03:06 AM,114.0205,22.6364,06/01/14 03:19 AM,113.987701,22.560499,1,7470,30
842,06/01/14 04:52 AM,114.067902,22.5459,06/01/14 04:53 AM,114.007698,22.5347,1,6160,457
1246,06/01/14 10:00 AM,113.987297,22.5238,06/01/14 10:06 AM,114.006798,22.535101,1,4114,91
341,06/01/14 01:35 PM,113.931503,22.518101,06/01/14 01:55 PM,113.941597,22.5271,1,5492,30
12,06/01/14 08:59 PM,114.02649699999999,22.5299,06/01/14 09:00 PM,114.008003,22.535,1,2471,119
998,06/01/14 03:58 AM,114.055298,22.5145,06/01/14 04:03 AM,114.007797,22.5348,1,3418,590
1696,06/01/14 05:19 PM,114.04989599999999,22.5275,06/01/14 05:33 PM,114.0233,22.542601,1,2432,30
1678,06/01/14 06:37 AM,114.09899899999999,22.5788,06/01/14 07:34 AM,114.304901,22.600901,1,5500,5470
1797,06/01/14 07:40 AM,114.124802,22.5646,06/01/14 07:40 AM,114.123299,22.5625,1,4235,90
